FIPS,FIPS2,County,Code,State,Code2,Changed
12001,001,Alachua,ALA,FL,ALA,
12003,003,Baker,BAK,FL,BAK,
12005,005,Bay,BAY,FL,BAY,
12007,007,Bradford,BRA,FL,BRA,
12009,009,Brevard,BRE,FL,BRE,
12011,011,Broward,BRO,FL,BRO,
12013,013,Calhoun,CAL,FL,CAL,
12015,015,Charlotte,CHA,FL,CHA,
12017,017,Citrus,CIT,FL,CIT,
12019,019,Clay,CLA,FL,CLA,
12021,021,Collier,COL,FL,CLL,yes
12023,023,Columbia,COL,FL,CLM,yes
12025,025,Dade,DAD,FL,DAD,
12027,027,De Soto,DE ,FL,DES,yes
12029,029,Dixie,DIX,FL,DIX,
12031,031,Duval,DUV,FL,DUV,
12033,033,Escambia,ESC,FL,ESC,
12035,035,Flagler,FLA,FL,FLA,
12037,037,Franklin,FRA,FL,FRA,
12039,039,Gadsden,GAD,FL,GAD,
12041,041,Gilchrist,GIL,FL,GIL,
12043,043,Glades,GLA,FL,GLA,
12045,045,Gulf,GUL,FL,GUL,
12047,047,Hamilton,HAM,FL,HAM,
12049,049,Hardee,HAR,FL,HAR,
12051,051,Hendry,HEN,FL,HEN,
12053,053,Hernando,HER,FL,HER,
12055,055,Highlands,HIG,FL,HIG,
12057,057,Hillsborough,HIL,FL,HIL,
12059,059,Holmes,HOL,FL,HOL,
12061,061,Indian River,IND,FL,IND,
12063,063,Jackson,JAC,FL,JAC,
12065,065,Jefferson,JEF,FL,JEF,
12067,067,Lafayette,LAF,FL,LAF,
12069,069,Lake,LAK,FL,LAK,
12071,071,Lee,LEE,FL,LEE,
12073,073,Leon,LEO,FL,LEO,
12075,075,Levy,LEV,FL,LEV,
12077,077,Liberty,LIB,FL,LIB,
12079,079,Madison,MAD,FL,MAD,
12081,081,Manatee,MAN,FL,MAN,
12083,083,Marion,MAR,FL,MON,yes
12085,085,Martin,MAR,FL,MRT,yes
12087,087,Monroe,MON,FL,MRN,yes
12089,089,Nassau,NAS,FL,NAS,
12091,091,Okaloosa,OKA,FL,OKA,
12093,093,Okeechobee,OKE,FL,OKE,
12095,095,Orange,ORA,FL,ORA,
12097,097,Osceola,OSC,FL,OSC,
12099,099,Palm Beach,PAL,FL,PAL,
12101,101,Pasco,PAS,FL,PAS,
12103,103,Pinellas,PIN,FL,PIN,
12105,105,Polk,POL,FL,POL,
12107,107,Putnam,PUT,FL,PUT,
12109,109,St Johns,ST ,FL,STJ,yes
12111,111,St Lucie,ST ,FL,STL,yes
12113,113,Santa Rosa,SAN,FL,SAN,
12115,115,Sarasota,SAR,FL,SAR,
12117,117,Seminole,SEM,FL,SEM,
12119,119,Sumter,SUM,FL,SUM,
12121,121,Suwannee,SUW,FL,SUW,
12123,123,Taylor,TAY,FL,TAY,
12125,125,Union,UNI,FL,UNI,
12127,127,Volusia,VOL,FL,VOL,
12129,129,Wakulla,WAK,FL,WAK,
12131,131,Walton,WAL,FL,WAL,
12133,133,Washington,WAS,FL,WAS,
