Key,Color,State,Online?,Link,Price,Other,
If highlighted red=infomation not available on SOC site/not easily available online,,Alabama,Mali in request,https://sos.alabama.gov/sites/default/files/publicInformationRequest.pdf,"$30,000+",,
If highlighted orange=Unsure if correct/problematic information,Orange,Alaska,Reuqest via email,https://github.com/pablobarbera/voter-files/blob/master/README.md#alaska,No estimated costs,Links provided in readme file are dead,
,,Arizona,Not online,https://azsos.gov/elections/voter-registration-historical-election-data,"1 cent per voter or roughly $32,500",,
,,Arkansas,Mail in request form,https://www.sos.arkansas.gov/uploads/elections/Data%20Request%20Form.pdf,"$2.50 per file (Voter Registration - VR, Voter History - VH or a combinaation of both -VRVH)",,
,,California,"Not online, but can contact through request",http://www.sos.ca.gov/elections/contact/email-elections-division/,"MALDEF lawyer said it was free, other estimates say $30",,
,,Colorado,Mail in request form,Request form: http://www.sos.state.co.us/pubs/elections/forms/dataRequests.pdf   ,$50.00 ,http://coloradovoters.info/download.html,
,,Connecticut,Mail in or email request form,https://portal.ct.gov/SOTS/Election-Services/Election-Services/Centralized-Voter-Registration-Information,$300.00 ,http://connvoters.com/download.html,
,,Delaware,Mail in reqeust form,https://elections.delaware.gov/pubs/statewide_vreg_cd_order_form.pdf,$25.00 ,http://delawarevoters.info/downloads.html,
,,Florida,Mail in or email request form,http://dos.myflorida.com/elections/data-statistics/voter-registration-statistics/voter-extract-disk-request/,Free,Unofficial: http://flvoters.com/downloads.html,
,,Georgia,Mail in request form,http://sos.ga.gov/index.php/elections/order_voter_registration_lists_and_files,$250 plus shipping,,
,,Hawaii,Not online,,Estimated $500,,
,,Idaho,Not online,,Estimated $20,http://voterlist.electproject.org/states/idaho,
,,Illinois,Mail request form,https://www.elections.il.gov/votinginformation/computerizedvoterdata.aspx,$500 ,,
,Orange,Indiana,Reuqest data by county,http://www.hspa.com/voter-registration-data/,,,
,,Iowa,Mail in request form,https://sos.iowa.gov/elections/voterreg/voterlistrequests.html,"$1,500 ",,
,,Kansas,"Request form, CD",https://www.kssos.org/forms/elections/CVR.pdf,$200 ,,
,,Kentucky,"Mail in check, receive CD",https://elect.ky.gov/requestforvoterreg/Pages/default.aspx,$450 ,,
,,Louisiana,Online,https://www.sos.la.gov/ElectionsAndVoting/BecomeACandidate/PurchaseVoterLists/Pages/default.aspx,"$5,000 ",,
,,Maine,Online,http://www.maine.gov/sos/cec/elec/data/index.html,"$2,200 ",,
,,Maryland,Online,https://elections.maryland.gov/pdf/SBEAPPL.pdf,$125 ,,
,Red,Massachusetts,Not available,https://www.bostonglobe.com/metro/2017/06/30/galvin-rejects-white-house-request-for-voter-data/AkXCo9uAeSuSdO3AoAyiIO/story.html,*voter data in MA is not public record*,https://www.bostonglobe.com/metro/2017/06/30/galvin-rejects-white-house-request-for-voter-data/AkXCo9uAeSuSdO3AoAyiIO/story.html,
,Orange,Michigan,Request form,Price not stated,https://www.michigan.gov/documents/FOIA_FORM_120378_7.pdf,"Unofficial: http://michiganvoters.info/download.html","https://www.michigan.gov/sos/0,4670,7-127-1633_11976_12001---,00.html"
,,Minnesota,Mail request form,https://www.sos.state.mn.us/election-administration-campaigns/data-maps/registered-voter-list-requests/,$46 ,,
,Red,Mississippi,Nothing found on Secretary of State site,,,,
,Orange,Missouri,"Request online, by county",https://www.jeffcomo.org/ElectionVoterList.aspx?nodeID=ElectionInformation,varies by county,,
,,Montana,Online,https://app.mt.gov/voterfile/,"$1,000 ",,
,,Nebraska,Mail in request form,http://www.sos.ne.gov/elec/voter-file-requests.html,$500 ,,
,,Nevada,Mail in request form,https://www.nvsos.gov/sos/sos-information/public-records-requests,Fee not stated but there is a fee,,
,Orange,New Hampshire,Online,http://sos.nh.gov/NamesHistory.aspx,Free,Unsure if this is actually the official voter data as this only contains information on registered members of parties by county,
,Red,New Jersey,Not on SOS site,,,Unofficial: https://github.com/pwolanin/import-voters,
,,New Mexico,Mail or fax in form,http://www.sos.state.nm.us/Elections_Data/Voter_Data_Request.aspx,"$4.00 per 1,000 records with voting history",,
,,New York,Online request,https://www.elections.ny.gov/FoilRequests.html,Price not stated,,
,,North Carolina,Mail or fax in form,https://www.ncsbe.gov/Portals/0/Forms/NCSBERecordsRequestForm.pdf, $25 for a CD,,
,Red,North Dakota,Nothing found on Secretary of State site,,,,
,,Ohio,Online,https://www6.sos.state.oh.us/ords/f?p=111:1,Free,,
,,Oklahoma,Mail request form,https://www.ok.gov/elections/documents/VIRS%20packet.pdf,Free,Unofficial: http://oklavoters.com/download.html,
,,Oregon,Online,https://sos.oregon.gov/elections/Pages/request-for-voter-list.aspx,$500 ,,
,,Pennsylvania,Online,https://www.pavoterservices.pa.gov/pages/purchasepafullvoterexport.aspx,$20 ,,
,Orange,Rhode Island,,,,Unofficial: http://rivoters.com/,
,,South Carolina,Request online,https://info.scvotes.sc.gov/eng/saleabledata/home.aspx,"$2,500 ",,
,,South Dakota,"Email, mail, fax request form",https://sdsos.gov/elections-voting/assets/VoterFileRequestForm.pdf,"$2,500 ",,
